ID,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,Volume,MajorVolume,MinorVolume,Urban,Intersection,Signalized,SpeedLimit,MajorRoad,MajorIntersection,FourLegs,2004,2005,2006,2007,2008,2009,2010,2011,2012
101,20,10,3,3,5,9,6,10,7,55280,54919.43,360.98,1,1,1,60,1,0,0,5.14485696,5.000903355,4.860977586,4.724966954,4.592761913,4.464255982,4.33934566,4.21793034,4.099912234
102,11,6,2,3,3,3,1,1,1,638,637.94,0,1,0,0,50,1,0,0,0.877622265,0.853066308,0.829197428,0.805996402,0.783444544,0.761523688,0.74021618,0.719504859,0.699373042
103,6,7,3,7,7,7,8,9,4,1658,1103.58,554.75,1,1,1,45,1,1,0,8.085476309,7.859243885,7.639341466,7.425591939,7.217823145,7.015867742,6.819563071,6.628751024,6.443277917
104,3,11,7,2,5,10,5,3,3,751,335.25,415.62,1,1,0,45,1,0,0,3.815202951,3.708453196,3.60469031,3.50383072,3.405793191,3.310498762,3.21787068,3.127834342,3.040317229
106,0,0,2,1,1,4,2,2,0,2366,2364.2,1.33,1,1,0,30,0,0,0,2.080326611,2.022118867,1.965539782,1.910543785,1.857086582,1.805125116,1.754617538,1.705523166,1.65780246
110,0,5,1,2,2,3,0,0,3,64778,42007.65,22770.83,1,0,0,60,1,1,1,2.596842645,2.524182731,2.45355585,2.384905115,2.318175235,2.253312464,2.190264559,2.128980741,2.06941165
113,2,5,2,2,3,2,3,1,1,280,279.69,0.25,1,1,0,30,0,0,0,2.050828792,1.9934464,1.937669573,1.883453387,1.830754176,1.779529494,1.729738083,1.681339841,1.634295787
114,8,8,14,9,7,13,9,10,9,1412,1267.97,143.72,1,1,1,45,1,0,1,9.331220994,9.070132511,8.81634931,8.569666987,8.32988686,8.096815805,7.870266101,7.650055279,7.436005979
115,6,1,6,9,5,9,12,3,8,1910,1095.89,814.32,1,1,0,50,1,0,1,5.866990154,5.702831191,5.543265412,5.388164299,5.237402931,5.090859881,4.94841712,4.809959921,4.675376768
116,7,3,7,14,5,1,6,5,5,37877,29228.32,8649.02,1,0,0,60,1,1,0,1.565097442,1.521305862,1.478739574,1.437364295,1.3971467,1.358054398,1.320055902,1.283120607,1.247218766
117,9,8,4,8,8,7,3,2,3,38029,18303.32,19725.81,1,1,0,60,1,1,1,7.795001275,7.576896371,7.364894064,7.158823602,6.958519012,6.763818964,6.574566643,6.39060962,6.211799733
118,9,21,13,17,11,24,26,21,24,12967,8608.77,4358.51,1,1,1,50,1,1,1,13.32928545,12.95633073,12.59381132,12.24143523,11.89891867,11.56598575,11.24236833,10.92780576,10.62204468
119,6,12,15,10,9,14,4,5,7,3843,3483.9,358.92,1,1,1,45,1,0,0,6.180047607,6.007129266,5.839049197,5.675672025,5.516866162,5.362503703,5.212460321,5.066615167,4.924850776
122,11,10,10,10,3,2,8,10,9,5294,4384.69,909.28,1,1,0,50,1,0,1,5.899485998,5.734417798,5.573968223,5.418008043,5.266411644,5.119056927,4.97582521,4.83660113,4.701272554
123,10,7,3,9,6,4,13,8,5,4359,3795.68,563.13,1,1,0,50,1,0,0,3.643698385,3.541747345,3.442648905,3.34632325,3.252692795,3.16168213,3.073217953,2.987229011,2.903646049
124,15,13,19,22,17,24,21,25,15,2740,1658.31,1082.02,1,1,0,45,1,0,1,6.326709117,6.149687172,5.977618319,5.810363969,5.647789413,5.489763708,5.336159579,5.186853308,5.041724641
125,3,2,5,5,7,6,9,5,5,467,466.83,0,1,1,0,30,0,0,0,2.050828792,1.9934464,1.937669573,1.883453387,1.830754176,1.779529494,1.729738083,1.681339841,1.634295787
126,9,6,6,13,7,8,2,4,3,600,434.94,164.87,1,1,1,50,1,0,1,8.837782187,8.59050017,8.350137129,8.116499469,7.889399014,7.668652852,7.454083189,7.245517207,7.042786921
127,4,7,5,12,2,11,8,10,5,2286,2044.61,241.82,1,1,0,45,1,0,0,3.713122895,3.609229351,3.508242758,3.41008178,3.314667355,3.221922636,3.131772923,3.044145608,2.958970114
129,4,1,0,1,1,0,0,0,2,1737,1195.69,541.74,1,1,0,45,1,0,0,3.866172531,3.757996643,3.652847526,3.550640492,3.451293221,3.354725697,3.260860141,3.169620953,3.080934647
130,28,26,25,13,15,23,10,19,15,3204,1826.49,1377.15,1,1,0,45,1,0,1,6.403585768,6.224412807,6.050253123,5.880966444,5.716416423,5.556470529,5.400999935,5.249879425,5.102987281
131,11,6,6,9,4,0,1,2,2,3991,3723.56,267.85,1,1,0,30,0,0,0,2.713381977,2.637461282,2.563664856,2.49193326,2.422208722,2.354435083,2.288557758,2.224523686,2.162281294
132,1,6,5,2,2,1,0,3,1,3975,3351.76,623.48,1,1,0,45,1,0,0,3.893476085,3.784536241,3.678644544,3.575715707,3.475666829,3.378417328,3.283888878,3.192005344,3.10269272
133,13,6,4,6,9,4,9,4,2,1745,1121.66,623.48,1,1,0,30,0,0,1,4.474422771,4.349227981,4.227536154,4.109249275,3.994272076,3.882511949,3.773878882,3.668285379,3.565646393
134,2,7,7,7,10,4,3,5,7,4473,3351.82,1121.66,1,1,0,45,1,0,0,4.009674187,3.897483108,3.788431147,3.68243047,3.579395703,3.479243858,3.381894272,3.287268537,3.195290439
135,8,10,8,8,8,2,5,4,2,5286,4911.8,374.68,1,1,0,45,1,1,0,4.858549439,4.722606747,4.590467744,4.462026005,4.337178077,4.215823407,4.097864253,3.983205607,3.871755121
